,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"New York City, NY",40.7141197,-74.0033868,Gibney Dance Center Downtown,40.71392316324669,-74.0056614920451,Dance Studio
1,"New York City, NY",40.7141197,-74.0033868,African Burial Ground National Monument,40.71498975306652,-74.00552975826278,Monument / Landmark
2,"New York City, NY",40.7141197,-74.0033868,CrossFit 212 TriBeCa,40.714537431170484,-74.00599852611592,Gym
3,"New York City, NY",40.7141197,-74.0033868,Foley Square,40.7145088132257,-74.00291919708252,Park
4,"New York City, NY",40.7141197,-74.0033868,Vivi Bubble Tea,40.71594984494608,-74.00458319478163,Bubble Tea Shop
5,"New York City, NY",40.7141197,-74.0033868,City Hall Park,40.71241508549692,-74.00672422767822,Park
6,"New York City, NY",40.7141197,-74.0033868,Atera,40.71675176130724,-74.00571150855457,Molecular Gastronomy Restaurant
7,"New York City, NY",40.7141197,-74.0033868,The Hummus & Pita Co,40.714453031801185,-74.00685274843354,Falafel Restaurant
8,"New York City, NY",40.7141197,-74.0033868,Municipal Plaza,40.712754538537865,-74.00449770161428,Plaza
9,"New York City, NY",40.7141197,-74.0033868,Alba Dry Cleaner & Tailor,40.71143355866638,-74.00627233822603,Laundry Service
10,"New York City, NY",40.7141197,-74.0033868,Shanghai 21,40.714423425836316,-73.99890393018723,Shanghai Restaurant
11,"New York City, NY",40.7141197,-74.0033868,Potbelly Sandwich Shop,40.71448,-74.005842,Sandwich Place
12,"New York City, NY",40.7141197,-74.0033868,Maxwell's Bar & Restaurant,40.71494392643706,-74.00648461952706,Bar
13,"New York City, NY",40.7141197,-74.0033868,Racines,40.714754151461236,-74.0075806002039,French Restaurant
14,"New York City, NY",40.7141197,-74.0033868,Columbus Park Playground,40.714564254441214,-74.0000221423207,Playground
15,"New York City, NY",40.7141197,-74.0033868,Chipotle Mexican Grill,40.714606606499316,-74.00633473282073,Burrito Place
16,"New York City, NY",40.7141197,-74.0033868,The Bar Room at Temple Court,40.7114477287544,-74.00680157032005,Hotel Bar
17,"New York City, NY",40.7141197,-74.0033868,Escape Games NYC,40.717475,-74.004913,General Entertainment
18,"New York City, NY",40.7141197,-74.0033868,Nish Nūsh,40.71553710116416,-74.00772452925565,Falafel Restaurant
19,"New York City, NY",40.7141197,-74.0033868,Heyday,40.715726,-74.007767,Spa
20,"New York City, NY",40.7141197,-74.0033868,Juku,40.71452998837071,-73.9998866840052,Japanese Restaurant
21,"New York City, NY",40.7141197,-74.0033868,Woops!,40.7163977921964,-74.00503245546732,Bakery
22,"New York City, NY",40.7141197,-74.0033868,The Wat Gym,40.71483019817199,-74.00603601138349,Martial Arts Dojo
23,"New York City, NY",40.7141197,-74.0033868,Eye Solutions,40.7149274142558,-73.9987735799202,Optical Shop
24,"New York City, NY",40.7141197,-74.0033868,Blue Spoon Coffee Co.,40.714427584609766,-74.00685853301651,Coffee Shop
25,"New York City, NY",40.7141197,-74.0033868,The Beekman – A Thompson Hotel,40.7111725,-74.0067017,Hotel
26,"New York City, NY",40.7141197,-74.0033868,Zu Yuan Spa,40.715468729173686,-73.9986270534065,Spa
27,"New York City, NY",40.7141197,-74.0033868,Augustine,40.71130993467075,-74.00666043815025,French Restaurant
28,"New York City, NY",40.7141197,-74.0033868,Hank's Juicy Beef,40.714349,-74.007215,Sandwich Place
29,"New York City, NY",40.7141197,-74.0033868,Alimama,40.7158544325844,-73.99913855578315,Dessert Shop
30,"New York City, NY",40.7141197,-74.0033868,Noodle Village 粥麵軒,40.71412788438359,-73.99874558609585,Chinese Restaurant
31,"New York City, NY",40.7141197,-74.0033868,Sophie's Cuban Cuisine,40.71480295894467,-74.00765642063459,Cuban Restaurant
32,"New York City, NY",40.7141197,-74.0033868,Kula Yoga Project,40.714342290158086,-74.00809356840004,Yoga Studio
33,"New York City, NY",40.7141197,-74.0033868,SKY TING YOGA,40.71812415369316,-74.00305076100503,Yoga Studio
34,"New York City, NY",40.7141197,-74.0033868,Exceed Physical Culture,40.7156286200256,-74.0079922583853,Gym / Fitness Center
35,"New York City, NY",40.7141197,-74.0033868,Modern Martial Arts NYC Tribeca,40.71543099173628,-74.00736173096483,Martial Arts Dojo
36,"New York City, NY",40.7141197,-74.0033868,Think Coffee,40.71690888950524,-74.00393447886529,Coffee Shop
37,"New York City, NY",40.7141197,-74.0033868,Gourmet Garage,40.71725579230746,-74.00311820017257,Gourmet Shop
38,"New York City, NY",40.7141197,-74.0033868,Pret A Manger,40.715963,-74.005201,Sandwich Place
39,"New York City, NY",40.7141197,-74.0033868,Aire Ancient Baths,40.718141411641234,-74.00494121234846,Spa
40,"New York City, NY",40.7141197,-74.0033868,Los Tacos No. 1,40.714267,-74.008756,Taco Place
41,"New York City, NY",40.7141197,-74.0033868,Takahachi Bakery,40.713652845301894,-74.0088038953017,Bakery
42,"New York City, NY",40.7141197,-74.0033868,Apothéke,40.71446997055456,-73.99801834428807,Cocktail Bar
43,"New York City, NY",40.7141197,-74.0033868,Aahar Indian Cuisine,40.71330656515891,-74.00799405698501,Indian Restaurant
44,"New York City, NY",40.7141197,-74.0033868,The Original Chinatown Ice Cream Factory,40.71552144597581,-73.99814520882326,Ice Cream Shop
45,"New York City, NY",40.7141197,-74.0033868,Peking Duck House,40.71458915982214,-73.9988359474263,Peking Duck Restaurant
46,"New York City, NY",40.7141197,-74.0033868,Wo Hop Restaurant,40.71426891504387,-73.99888783693314,Chinese Restaurant
47,"New York City, NY",40.7141197,-74.0033868,Oliver Coffee,40.71298560725299,-73.99810600924503,Coffee Shop
48,"New York City, NY",40.7141197,-74.0033868,Hungry Ghost,40.71537908911408,-74.00747585756598,Coffee Shop
49,"New York City, NY",40.7141197,-74.0033868,Ping's Seafood,40.71442446543967,-73.99883201776339,Dim Sum Restaurant
50,"New York City, NY",40.7141197,-74.0033868,Phobar,40.71521508049767,-73.99882587476739,Vietnamese Restaurant
51,"New York City, NY",40.7141197,-74.0033868,Au Cheval,40.71807461768801,-74.0019744088625,American Restaurant
52,"New York City, NY",40.7141197,-74.0033868,Lung Moon Bakery,40.716572955337426,-73.99910874009436,Bakery
53,"New York City, NY",40.7141197,-74.0033868,Takahachi,40.71652647412374,-74.00810108466207,Sushi Restaurant
54,"New York City, NY",40.7141197,-74.0033868,The Wooly Daily,40.71213724343698,-74.00839457685005,Coffee Shop
55,"New York City, NY",40.7141197,-74.0033868,The Class by Taryn Toomey,40.71275251771485,-74.00873355601571,Gym / Fitness Center
56,"New York City, NY",40.7141197,-74.0033868,Two Hands Restaurant & Bar,40.71793729407671,-74.0056947993655,Australian Restaurant
57,"New York City, NY",40.7141197,-74.0033868,Mmuseumm,40.71733263447613,-74.00287628173828,Museum
58,"New York City, NY",40.7141197,-74.0033868,Water4Dogs Rehabilitaion Center,40.71683833242527,-74.00592175519765,Medical Center
59,"New York City, NY",40.7141197,-74.0033868,Philip Williams Posters,40.71528423132827,-74.00878093952018,Antique Shop
60,"New York City, NY",40.7141197,-74.0033868,Modell's Sporting Goods,40.71419848467429,-74.00614192268472,Sporting Goods Shop
61,"New York City, NY",40.7141197,-74.0033868,Nom Wah Tea Parlor,40.714512,-73.998235,Dim Sum Restaurant
62,"New York City, NY",40.7141197,-74.0033868,Gran Morsi,40.714246192274395,-74.00792514672226,Italian Restaurant
63,"New York City, NY",40.7141197,-74.0033868,Y7 Studio - Tribeca,40.7178305720227,-74.0062042065723,Gym / Fitness Center
64,"New York City, NY",40.7141197,-74.0033868,Temple Court,40.7114909233789,-74.00683195829815,American Restaurant
65,"New York City, NY",40.7141197,-74.0033868,Bangkok Center Grocery,40.71444928144872,-73.9994414025174,Grocery Store
66,"New York City, NY",40.7141197,-74.0033868,Breakroom,40.716656,-73.999722,Burger Joint
67,"New York City, NY",40.7141197,-74.0033868,Yin Ji Chang Fen 銀記腸粉店,40.715759000000006,-73.999259,Cantonese Restaurant
68,"New York City, NY",40.7141197,-74.0033868,Crunch - Tribeca,40.717195410510364,-74.00512799620634,Gym / Fitness Center
69,"New York City, NY",40.7141197,-74.0033868,Whiskey Tavern,40.71662496145311,-74.00025965055961,Whisky Bar
70,"New York City, NY",40.7141197,-74.0033868,Peachy's,40.71445204430717,-73.99799106067414,Cocktail Bar
71,"New York City, NY",40.7141197,-74.0033868,Thai Son,40.716797,-73.999592,Vietnamese Restaurant
72,"New York City, NY",40.7141197,-74.0033868,Magic Jewelry,40.71783255368834,-74.00011970867772,Jewelry Store
73,"New York City, NY",40.7141197,-74.0033868,Sawada Coffee,40.718067943806524,-74.00200117832283,Coffee Shop
74,"New York City, NY",40.7141197,-74.0033868,Woolworth Building,40.712559078189095,-74.00796435178208,Building
75,"New York City, NY",40.7141197,-74.0033868,20 Thomas St. (The Flea Theater),40.71616108888684,-74.00582556960691,Theater
76,"New York City, NY",40.7141197,-74.0033868,Massage Warrior,40.71708573517954,-74.00296409013698,Massage Studio
77,"New York City, NY",40.7141197,-74.0033868,Birch Coffee,40.71075943494384,-74.00595340051164,Coffee Shop
78,"New York City, NY",40.7141197,-74.0033868,Buddha Bodai 佛菩提素菜,40.71379837914967,-73.99867652064822,Vegetarian / Vegan Restaurant
